Supplemental Table 3. Concentrations ([C] and [N]) for plants and animals sampled in Yosemite National Park, CA, USA, 2007. Digest [N] and [C] of plants (n = 134) and animals (n = 29) were calculated using the equations below. Digestible concentrations for Quercus spp. and Pinus spp. were calculated using the USDA National Nutrient Database (Table S4). Some data was also published as on-line material in Hopkins and Ferguson (2011; in Press),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Species,Common name,% N,Digest N,Digest DM,Digest C,Digest [N],Digest [C]
,,,,,,,
,,,,,,,
,,,,,,,
GRASSES,,,,,,,
Prunus subcordata,Sierra plum,0.58,0.53,63.4,28.53,0.83,45
Prunus subcordata,Sierra plum,0.94,0.85,63.4,28.53,1.34,45
Pinus spp.,Sugar pine ,3.65,See Table S4,,,1.04,61.89
Pinus spp.,Sugar pine ,5.64,See Table S4,,,1.04,61.89
Pinus spp.,Sugar pine ,6.04,See Table S4,,,1.04,61.89
Pinus spp.,Sugar pine ,6.04,See Table S4,,,1.04,61.89
Pinus spp.,Sugar pine ,5.66,See Table S4,,,1.04,61.89
Pinus spp.,Sugar pine ,4.17,See Table S4,,,1.04,61.89
Prunus emarginata,Bitter cherry,0.43,0.39,63.4,28.53,0.61,45
Prunus emarginata,Bitter cherry,0.45,0.41,63.4,28.53,0.64,45
Prunus emarginata,Bitter cherry,0.54,0.48,63.4,28.53,0.76,45
Cornus sericea ,Red Osier dogwood,1.76,1.59,63.4,28.53,2.5,45
Cornus sericea,Red Osier dogwood,1.62,1.46,63.4,28.53,2.3,45
Cornus sericea,Red Osier dogwood,1.86,1.68,63.4,28.53,2.65,45
Cornus sericea,Red Osier dogwood,1.45,1.31,63.4,28.53,2.06,45
Cornus sericea,Red Osier dogwood,1.09,0.98,63.4,28.53,1.55,45
Cornus sericea,Red Osier dogwood,0.73,0.65,63.4,28.53,1.03,45
Cornus nuttallii,Mountain dogwood,0.61,0.55,63.4,28.53,0.87,45
Cornus nuttallii,Mountain dogwood,0.6,0.54,63.4,28.53,0.85,45
Cornus nuttallii,Mountain dogwood,0.6,0.54,63.4,28.53,0.85,45
Prunus var. demissa,Western chokecherry,0.86,0.77,63.4,28.53,1.22,45
Prunus var. demissa,Western chokecherry,1.11,1,63.4,28.53,1.57,45
Prunus var. demissa,Western chokecherry,0.61,0.55,63.4,28.53,0.86,45
Sambucus mexicana,Blue elderberry,1.21,1.09,63.4,28.53,1.72,45
Sambucus mexicana,Blue elderberry,1.28,1.15,63.4,28.53,1.82,45
Sambucus mexicana,Blue elderberry,1.17,1.05,63.4,28.53,1.66,45
Ribes roezlii,Sierra gooseberry,0.66,0.59,63.4,28.53,0.93,45
Ribes roezlii,Sierra gooseberry,0.33,0.3,63.4,28.53,0.47,45
Ribes roezlii,Sierra gooseberry,0.4,0.36,63.4,28.53,0.57,45
Ribes nevadense,Sierra current,0.63,0.56,63.4,28.53,0.89,45
Ribes nevadense,Sierra current,0.63,0.56,63.4,28.53,0.89,45
Ribes nevadense,Sierra current,0.56,0.5,63.4,28.53,0.79,45
Rubus discolor,Himalayan blackberry,1.44,1.3,63.4,28.53,2.04,45
Rubus discolor,Himalayan blackberry,1.44,1.29,63.4,28.53,2.04,45
Rubus discolor,Himalayan blackberry,1.31,1.18,63.4,28.53,1.87,45
Rubus leucodermis,Western raspberry,0.86,0.78,63.4,28.53,1.22,45
Rubus leucodermis,Western raspberry,1.12,1.01,63.4,28.53,1.59,45
Rubus leucodermis,Western raspberry,0.96,0.86,63.4,28.53,1.36,45
Rubus parviflorus,Timbleberry,0.99,0.89,63.4,28.53,1.41,45
Rubus parviflorus,Timbleberry,0.81,0.73,63.4,28.53,1.15,45
Rubus parviflorus,Timbleberry,0.84,0.76,63.4,28.53,1.19,45
Rhamnus spp.,Coffeeberry,0.41,0.37,63.4,28.53,0.58,45
Rhamnus spp.,Coffeeberry,0.71,0.64,63.4,28.53,1.01,45
Rhamnus spp.,Coffeeberry,0.8,0.72,63.4,28.53,1.14,45
Amelanchier spp.,Serviceberry,0.75,0.68,63.4,28.53,1.07,45
Amelanchier spp.,Serviceberry,0.71,0.64,63.4,28.53,1.01,45
Vaccinium spp.,Dwarf Bilberry,0.54,0.49,63.4,28.53,0.77,45
Vaccinium spp.,Dwarf Bilberry,0.48,0.44,63.4,28.53,0.69,45
Symphoricarpos spp.,Snowberry,0.25,0.22,63.4,28.53,0.35,45
Symphoricarpos spp.,Snowberry,0.44,0.39,63.4,28.53,0.62,45
Symphoricarpos spp.,Snowberry,0.35,0.32,63.4,28.53,0.5,45
Rosa californica,California wild rose,1.35,1.21,63.4,28.53,1.92,45
Rosa californica,California wild rose,1.1,0.99,63.4,28.53,1.56,45
Rosa californica,California wild rose,1.11,0.99,63.4,28.53,1.57,45
Rosa californica,California wild rose,1.3,1.17,63.4,28.53,1.84,45
Rosa californica,California wild rose,1.27,1.14,63.4,28.53,1.8,45
Rosa californica,California wild rose,1.26,1.14,63.4,28.53,1.79,45
MEAN,,,,,,2.21,46.85
1 SD,,,,,,2.3,4.18
ANIMALS,,,,,,,
Odocoileus hemionus,Mule deer,15.18,15.18,100,51.5,15.18,51.5
Odocoileus hemionus,Mule deer,15.69,15.69,100,51.5,15.69,51.5
Odocoileus hemionus,Mule deer,14.64,14.64,100,51.5,14.64,51.5
Odocoileus hemionus,Mule deer,15.03,15.03,100,51.5,15.03,51.5
Odocoileus hemionus,Mule deer,14.31,14.31,100,51.5,14.31,51.5
Apidae,bee,11.91,11.91,100,51.5,11.91,51.5
Apidae,bee,12.07,12.07,100,51.5,12.07,51.5
Apidae,bee,12.04,12.04,100,51.5,12.04,51.5
Camponotus spp.,carpenter ant,12.87,12.87,100,51.5,12.87,51.5
Camponotus spp.,carpenter ant,12.64,12.64,100,51.5,12.64,51.5
Camponotus spp.,carpenter ant,12.77,12.77,100,51.5,12.77,51.5
Camponotus spp.,carpenter ant,11.61,11.61,100,51.5,11.61,51.5
Camponotus spp.,carpenter ant,10.14,10.14,100,51.5,10.14,51.5
Camponotus spp.,carpenter ant,9.75,9.75,100,51.5,9.75,51.5
Camponotus spp.,carpenter ant,10.28,10.28,100,51.5,10.28,51.5
Lasius spp.,black ant,10.72,10.72,100,51.5,10.72,51.5
Lasius spp.,black ant,10.63,10.63,100,51.5,10.63,51.5
Isoptera,termite,12.15,12.15,100,51.5,12.15,51.5
Isoptera,termite,12.07,12.07,100,51.5,12.07,51.5
Isoptera,termite,12.12,12.12,100,51.5,12.12,51.5
Isoptera,termite,9.68,9.68,100,51.5,9.68,51.5
Isoptera,termite,9.89,9.89,100,51.5,9.89,51.5
Isoptera,termite,9.75,9.75,100,51.5,9.75,51.5
Hymenoptera,wasp,11.99,11.99,100,51.5,11.99,51.5
Vespula spp.,yellowjacket,12.53,12.53,100,51.5,12.53,51.5
Vespula spp.,yellowjacket,12.26,12.26,100,51.5,12.26,51.5
Vespula spp.,yellowjacket,12.23,12.23,100,51.5,12.23,51.5
Vespula spp.,yellowjacket,13.74,13.74,100,51.5,13.74,51.5
Vespula spp.,yellowjacket,12.15,12.15,100,51.5,12.15,51.5
MEAN,,,,,,12.17,51.5
1 SD,,,,,,1.69,0
TOTAL MEAN,,,,,,3.99,47.68
1 SD,,,,,,4.41,4.19
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Digest DM = mean data compiled by Robbins et al. (2002),,,,,,,
Digest N (plants) = % N x 0.9 (assuming 90% of % N is digestible),,,,,,,
Digest N (animals) = % N x 1 (assuming 100% of % N is digestible),,,,,,,
Digest N (acorn and pinenut) = % N x 0.466 (assuming acorn digestibility is similar to pinenut digestibility; Mealey 1980),,,,,,,
Digest C (plants) = Digest DM x 0.45 (assuming Digest DM is 45% C for fruit and leafy plants; Koch and Phillips 2002),,,,,,,
Digest C (animals) = 51.50 (determined by Phillips and Koch 2002),,,,,,,
Digest [N] = (Digest N/Digest DM) x100,,,,,,,
Digest [C] = (Digest C/Digest DM) x100,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
LITERATURE CITED,,,,,,,
,,,,,,,
"Koch, P. L., and D. L. Phillips. 2002. Incorporating concentration dependence in stable isotope mixing models: a reply to Robbins, Hilderbrand and Farley. Oecologia 133:14–18.",,,,,,,
,,,,,,,
"Mealey, S. P. 1980. The natural food habits of grizzly bears in Yellowstone National Park, 1973-1974. Page 281–292 in C. J. Markinka and K. L. McArthur, editors. Bears—their biology and management: proceedings, fourth international conference on bear research and management. Bear Biology Association, Kalispell, Montana, USA.",,,,,,,
,,,,,,,
"Phillips D. L., and P. L. Koch. 2002. Incorporating concentration dependence in stable isotope mixing models. Oecologia 130:114–125.",,,,,,,
,,,,,,,
"Robbins C. T., G. V. Hilderbrand, and S. D. Farley. 2002. Incorporating concentration dependence in stable isotope mixing models: a response to Phillips and Koch (2002). Oecologia 133:10–13.",,,,,,,
